yr,i,value
2008,ppd,226.8361359447556
2009,ppd,204.5401893189987
2005,ppd,205.88833488269756
2006,ppd,215.2834004248266
2012,ppd,227.71891852621542
2014,ppd,239.4040496628203
2013,ppd,236.78183363696334
1999,ppd,188.27804843635622
2002,ppd,191.36487538859615
2017,ppd,237.92827616556562
2016,ppd,234.13940486085613
2015,ppd,237.99900456048644
1998,ppd,183.45802509730018
2004,ppd,195.54896576560847
2000,ppd,195.60834435037444
1997,ppd,177.6416152332011
2007,ppd,223.9845702816523
2010,ppd,218.47299365704978
2003,ppd,188.64735084512657
2011,ppd,229.72477347393115
2001,ppd,190.8608302804865
2008,res,635.6019730313284
2009,res,630.4885631273844
2005,res,564.411854908881
2006,res,597.1255788778531
2012,res,728.5559030707815
2014,res,804.2305426888988
2013,res,757.7682536035121
1999,res,407.8944696394925
2002,res,479.2598352346722
2017,res,951.7247752100644
2016,res,906.9405783845681
2015,res,866.23127881737
1998,res,386.10410935890286
2004,res,535.5541113280511
2000,res,440.17005677474833
1997,res,363.71958270939217
2007,res,621.3371938533436
2010,res,653.3162115951259
2003,res,503.5861143441433
2011,res,688.8958442866648
2001,res,455.05863725081133
2008,com,328.2132151390086
2009,com,330.07235745400374
2005,com,257.9317376119852
2006,com,269.88816786345996
2012,com,425.4917418543131
2014,com,457.5766144296435
2013,com,437.9504159410711
1999,com,210.42301832080096
2002,com,236.38754470276845
2017,com,522.8285703925224
2016,com,489.79618598736766
2015,com,461.7617654592776
1998,com,168.85776828130196
2004,com,241.96016692053132
2000,com,243.16823867576736
1997,com,139.2602256421694
2007,com,299.2639134253554
2010,com,362.7736025349684
2003,com,234.421020067543
2011,com,396.87669856671835
2001,com,243.9424363515324
2008,amb,760.8299809150712
2009,amb,790.7642104416635
2005,amb,658.1628993919275
2006,amb,686.0719156607264
2012,amb,880.3463041565369
2014,amb,934.8772560598148
2013,amb,898.1522726161899
1999,amb,439.02940524136216
2002,amb,547.1709868606378
2017,amb,1076.076217501602
2016,amb,1033.8012022714831
2015,amb,985.1948684284902
1998,amb,420.8043846715458
2004,amb,623.7436587594659
2000,amb,467.64466495578563
1997,amb,400.36613510232974
2007,amb,721.2024450441454
2010,amb,822.6011233229888
2003,amb,583.776212004743
2011,amb,855.3495088608802
2001,amb,509.17653204023316
2008,fbp,1194.346194499236
2009,fbp,1179.7590536525188
2005,fbp,1017.9989806137501
2006,fbp,1046.4417221474366
2012,fbp,1371.43006432853
2014,fbp,1451.5446819200395
2013,fbp,1405.0467437678892
1999,fbp,796.7605167906464
2002,fbp,867.55847642985
2017,fbp,1533.6530552729448
2016,fbp,1478.255858239401
2015,fbp,1478.2368479651363
1998,fbp,780.2777396367322
2004,fbp,969.0141018875427
2000,fbp,820.9652351328115
1997,fbp,768.506772905631
2007,fbp,1122.8455233611535
2010,fbp,1235.1978806021257
2003,fbp,923.1368667193029
2011,fbp,1318.2505643032646
2001,fbp,853.3676620340312
2008,rec,161.18242285713688
2009,rec,155.11769423650634
2005,rec,136.41032474032968
2006,rec,148.48762976270754
2012,rec,168.29701608586348
2014,rec,180.61019738634081
2013,rec,174.78115912496196
1999,rec,90.31660701694967
2002,rec,107.61276710784054
2017,rec,203.8720422409422
2016,rec,193.9280974207691
2015,rec,187.14036248871156
1998,rec,80.98097663361796
2004,rec,128.7895450342878
2000,rec,97.66006435546356
1997,rec,76.95241604371569
