yr,i,value
2008,ppd,0.0033241219111698507
2009,ppd,0.0031640645261683696
2005,ppd,0.0024235080278703423
2006,ppd,0.002677810686899014
2012,ppd,0.004416755776651634
2014,ppd,0.004443326626425217
2013,ppd,0.004359236688759397
1999,ppd,0.0032482078853046594
2002,ppd,0.0027965125843066293
2017,ppd,0.005070202808112325
2016,ppd,0.004819910612566822
2015,ppd,0.004566015191601946
1998,ppd,0.0035093775169715794
2004,ppd,0.002121184174121553
2000,ppd,0.0032304557427563245
1997,ppd,0.0037471292155203677
2007,ppd,0.0031024207045760705
2010,ppd,0.0034101382488479263
2003,ppd,0.00265017667844523
2011,ppd,0.00373366521468575
2001,ppd,0.003067814854682454
2008,res,0.0
2009,res,0.0
2005,res,0.0
2006,res,0.0
2012,res,0.0
2014,res,0.0
2013,res,0.0
1999,res,0.0
2002,res,0.0
2017,res,0.0
2016,res,0.0
2015,res,0.0
1998,res,0.0
2004,res,0.0
2000,res,0.0
1997,res,0.0
2007,res,0.0
2010,res,0.0
2003,res,0.0
2011,res,0.0
2001,res,0.0
2008,com,0.0
2009,com,0.0
2005,com,0.0
2006,com,0.0
2012,com,0.0
2014,com,0.0
2013,com,0.0
1999,com,0.0
2002,com,0.0
2017,com,0.0
2016,com,0.0
2015,com,0.0
1998,com,0.0
2004,com,0.0
2000,com,0.0
1997,com,0.0
2007,com,0.0
2010,com,0.0
2003,com,0.0
2011,com,0.0
2001,com,0.0
2008,amb,0.0
2009,amb,0.0
2005,amb,0.0
2006,amb,0.0
2012,amb,0.0
2014,amb,0.0
2013,amb,0.0
1999,amb,0.0
2002,amb,0.0
2017,amb,0.0
2016,amb,0.0
2015,amb,0.0
1998,amb,0.0
2004,amb,0.0
2000,amb,0.0
1997,amb,0.0
2007,amb,0.0
2010,amb,0.0
2003,amb,0.0
2011,amb,0.0
2001,amb,0.0
2008,fbp,0.013163983341577446
2009,fbp,0.0127453252286137
2005,fbp,0.017129962047389473
2006,fbp,0.015165930887501905
2012,fbp,0.010930598188215917
2014,fbp,0.012301673027531743
2013,fbp,0.012111892022419074
1999,fbp,0.01925594762893182
2002,fbp,0.016610083892146684
2017,fbp,0.011897485155431367
2016,fbp,0.012684308060636057
2015,fbp,0.012115239696249492
1998,fbp,0.019153156850673782
2004,fbp,0.017541911846341733
2000,fbp,0.01757991589464698
1997,fbp,0.01740311424149585
2007,fbp,0.015764664804469274
2010,fbp,0.0125834249215527
2003,fbp,0.017227150814937073
2011,fbp,0.011629992412223218
2001,fbp,0.018960207716925307
2008,rec,0.0
2009,rec,0.0
2005,rec,0.0
2006,rec,0.0
2012,rec,0.0
2014,rec,0.0
2013,rec,0.0
1999,rec,0.0
2002,rec,0.0
2017,rec,0.0
2016,rec,0.0
2015,rec,0.0
1998,rec,0.0
2004,rec,0.0
2000,rec,0.0
1997,rec,0.0
2007,rec,0.0
2010,rec,0.0
2003,rec,0.0
2011,rec,0.0
2001,rec,0.0
2008,con,0.0
2009,con,0.0
2005,con,0.0
2006,con,0.0
2012,con,0.0
2014,con,0.0
2013,con,0.0
1999,con,0.0
2002,con,0.0
2017,con,0.0
2016,con,0.0
2015,con,0.0
1998,con,0.0
2004,con,0.0
2000,con,0.0
1997,con,0.0
2007,con,0.0
2010,con,0.0
2003,con,0.0
2011,con,0.0
2001,con,0.0
2008,agr,0.001000040001600064
2009,agr,0.0011522703994537383
2005,agr,0.002116637887818192
2006,agr,0.0015952938830450171
2012,agr,0.0008608762490392007
2014,agr,0.0009536328255882883
2013,agr,0.0008100679878489803
1999,agr,0.004986655429133306
2002,agr,0.005328098710039259
2017,agr,0.001040017018460302
2016,agr,0.0011014318614198458
2015,agr,0.0010670692033417485
1998,agr,0.005231797703822119
2004,agr,0.002434336963484945
2000,agr,0.005622375631627642
1997,agr,0.004706805255932536
2007,agr,0.0015680808432790314
2010,agr,0.0008831886951847016
2003,agr,0.003656914893617021
2011,agr,0.001654447544280802
2001,agr,0.005429347049578511
2008,eec,0.019882865295089352
2009,eec,0.019299459540328766
2005,eec,0.01930927948802825
2006,eec,0.01897459224121125
2012,eec,0.021076026977314533
2014,eec,0.021577044735652962
2013,eec,0.022276860729465255
1999,eec,0.020210744515460358
2002,eec,0.01893559390048154
2017,eec,0.020537266001291025
2016,eec,0.0215443237076175
2015,eec,0.02111105065563959
1998,eec,0.023001059041567382
2004,eec,0.019788972369339408
2000,eec,0.020231722335318808
1997,eec,0.02673671920607122
2007,eec,0.019096194422939722
2010,eec,0.020519690073523816
2003,eec,0.019342313975236156
2011,eec,0.020859221199893887
2001,eec,0.01964308640390294
2008,fnd,0.0
2009,fnd,0.0
2005,fnd,0.0
2006,fnd,0.0
2012,fnd,0.0
2014,fnd,0.0
2013,fnd,0.0
1999,fnd,0.0
2002,fnd,0.0
2017,fnd,0.0
2016,fnd,0.0
2015,fnd,0.0
1998,fnd,0.0
2004,fnd,0.0
2000,fnd,0.0
1997,fnd,0.0
2007,fnd,0.0
2010,fnd,0.0
2003,fnd,0.0
2011,fnd,0.0
2001,fnd,0.0
2008,pub,0.0
2009,pub,0.0
2005,pub,0.0
2006,pub,0.0
2012,pub,0.0
2014,pub,0.0
2013,pub,0.0
1999,pub,0.0007285974499089253
2002,pub,0.0003397893306150187
2017,pub,0.0
2016,pub,0.0
2015,pub,0.0
1998,pub,0.0007293946024799417
2004,pub,0.0
2000,pub,0.0006918021445866483
1997,pub,0.0011086474501108647
2007,pub,0.0
2010,pub,0.0
2003,pub,0.0003112356053532524
2011,pub,0.0
2001,pub,0.00034722222222222224
2008,hou,0.0
2009,hou,0.0
2005,hou,0.0
2006,hou,0.0
2012,hou,0.0
2014,hou,0.0
2013,hou,0.0
1999,hou,0.0
2002,hou,0.0
2017,hou,0.0
2016,hou,0.0
2015,hou,0.0
1998,hou,0.0
2004,hou,0.0
2000,hou,0.0
1997,hou,0.0
2007,hou,0.0
2010,hou,0.0
2003,hou,0.0
2011,hou,0.0
2001,hou,0.0
2008,fbt,0.0
2009,fbt,0.0
2005,fbt,0.0
2006,fbt,0.0
2012,fbt,0.0
2014,fbt,0.0
2013,fbt,0.0
1999,fbt,0.0
2002,fbt,0.0
2017,fbt,0.0
2016,fbt,0.0
2015,fbt,0.0
1998,fbt,0.0
2004,fbt,0.0
2000,fbt,0.0
1997,fbt,0.0
2007,fbt,0.0
2010,fbt,0.0
2003,fbt,0.0
2011,fbt,0.0
2001,fbt,0.0
2008,ins,0.0
2009,ins,0.0
2005,ins,0.0
2006,ins,0.0
2012,ins,0.0
2014,ins,0.0
2013,ins,0.0
1999,ins,0.0
2002,ins,0.0
2017,ins,0.0
2016,ins,0.0
2015,ins,0.0
1998,ins,0.0
2004,ins,0.0
2000,ins,0.0
1997,ins,0.0
2007,ins,0.0
2010,ins,0.0
2003,ins,0.0
2011,ins,0.0
2001,ins,0.0
2008,tex,0.06266568163052454
2009,tex,0.06182026330852891
2005,tex,0.064797507788162
2006,tex,0.062250996015936255
2012,tex,0.06250718583528149
2014,tex,0.06278597722503182
2013,tex,0.06495681953543776
1999,tex,0.06480896747710767
2002,tex,0.06014479302023389
2017,tex,0.06239859822181842
2016,tex,0.061952503080971257
2015,tex,0.06177327961743801
1998,tex,0.07296356068971376
2004,tex,0.06407756758180956
2000,tex,0.06482568173973076
1997,tex,0.08197800131616056
2007,tex,0.060701944294100495
2010,tex,0.06274139558836152
2003,tex,0.061029662461643375
2011,tex,0.064034492394906
2001,tex,0.06473582828838746
2008,leg,0.0
2009,leg,0.0
2005,leg,0.0
2006,leg,0.0
2012,leg,0.0
2014,leg,0.0
2013,leg,0.0
1999,leg,0.0
2002,leg,0.0
2017,leg,0.0
2016,leg,0.0
2015,leg,0.0
1998,leg,0.0
2004,leg,0.0
2000,leg,0.0
1997,leg,0.0
2007,leg,0.0
2010,leg,0.0
2003,leg,0.0
2011,leg,0.0
2001,leg,0.0
2008,fen,0.0
2009,fen,0.0
2005,fen,0.0
2006,fen,0.0
2012,fen,0.0
2014,fen,0.0
2013,fen,0.0
1999,fen,0.0
2002,fen,0.0
2017,fen,0.0
2016,fen,0.0
2015,fen,0.0
1998,fen,0.0
2004,fen,0.0
2000,fen,0.0
1997,fen,0.0
2007,fen,0.0
2010,fen,0.0
2003,fen,0.0
2011,fen,0.0
2001,fen,0.0
2008,uti,0.0
2009,uti,0.0
2005,uti,0.0
2006,uti,0.0
2012,uti,0.0
2014,uti,0.0
2013,uti,0.0
1999,uti,0.0
2002,uti,0.0
2017,uti,0.0
2016,uti,0.0
2015,uti,0.0
1998,uti,0.0
2004,uti,0.0
2000,uti,0.0
1997,uti,0.0
2007,uti,0.0
2010,uti,0.0
2003,uti,0.0
2011,uti,0.0
2001,uti,0.0
2008,nmp,0.029616378453587756
2009,nmp,0.03040204574513425
2005,nmp,0.029315332690453225
2006,nmp,0.02800997855486017
2012,nmp,0.03138180357501506
2014,nmp,0.03232979815258296
2013,nmp,0.03305785123966942
1999,nmp,0.03327627524820267
2002,nmp,0.03224516988674217
2017,nmp,0.03230451874051298
2016,nmp,0.03316784179565272
2015,nmp,0.031953730669838795
1998,nmp,0.037380241872153296
2004,nmp,0.03109202587378377
2000,nmp,0.03353991979584397
