yr,i,value
1997,ppd,0.0037471292155203677
1997,fbp,0.01740311424149585
1997,agr,0.004706805255932536
1997,eec,0.02673671920607122
1997,pub,0.0011086474501108647
1997,tex,0.08197800131616056
1997,nmp,0.04083913678961396
1997,ote,0.00859513930053349
1997,mch,0.016702577733041853
1997,oil,0.0024183412088524016
1997,pla,0.023977318752531385
1997,fof,0.0007633587786259542
1997,mov,0.0014727540500736377
1997,fpd,0.008905852417302799
1997,pri,0.015625
1997,fmt,0.03203966307708711
1997,pet,0.004173877634123994
1997,cep,0.010824359710416872
1997,mot,0.013752987329214952
1997,alt,0.12991455613677153
1997,pmt,0.01097087730751097
1997,wpd,0.006455002627035953
1997,che,0.015510465732043816
1997,mmf,0.022709929489331825
1998,ppd,0.0035093775169715794
1998,fbp,0.019153156850673782
1998,agr,0.005231797703822119
1998,eec,0.023001059041567382
1998,pub,0.0007293946024799417
1998,tex,0.07296356068971376
1998,nmp,0.037380241872153296
1998,ote,0.0056421178492695135
1998,mch,0.013943817610794464
1998,oil,0.0028614784305224365
1998,pla,0.022264848941563338
1998,fof,0.0005542622769094335
1998,mov,0.002167630057803468
1998,fpd,0.0038391065352063516
1998,pri,0.01276595744680851
1998,fmt,0.02715933160743704
1998,pet,0.005616316878510198
1998,cep,0.007495699968900144
1998,mot,0.013226995820385218
1998,alt,0.12733679162180678
1998,pmt,0.009950677749801675
1998,wpd,0.005453752181500872
1998,che,0.013796916757724561
1998,mmf,0.018826897140183315
1998,min,0.006382978723404255
1999,ppd,0.0032482078853046594
1999,fbp,0.01925594762893182
1999,agr,0.004986655429133306
1999,eec,0.020210744515460358
1999,pub,0.0007285974499089253
1999,tex,0.06480896747710767
1999,nmp,0.03327627524820267
1999,ote,0.005221379431998589
1999,mch,0.01080004488330341
1999,oil,0.0019090939274212292
1999,pla,0.02084092842386681
1999,fof,0.0004234596654668643
1999,mov,0.0014326647564469916
1999,fpd,0.0011919786846164634
1999,pri,0.01061410159211524
1999,fmt,0.022903743547477554
1999,pet,0.005326965466568699
1999,cep,0.004996262638184036
1999,mot,0.013567183998173415
1999,alt,0.12170255809620145
1999,pmt,0.007635864702022311
1999,wpd,0.0047503045066991465
1999,che,0.010968704839970625
1999,mmf,0.015341636596438134
1999,min,0.002928257686676427
2000,ppd,0.0032304557427563245
2000,fbp,0.01757991589464698
2000,agr,0.005622375631627642
2000,eec,0.020231722335318808
2000,pub,0.0006918021445866483
2000,tex,0.06482568173973076
2000,nmp,0.03353991979584397
2000,ote,0.0057700986396750685
2000,mch,0.011136460307026023
2000,oil,0.0010618529333687285
2000,pla,0.02127302244863685
2000,fof,0.0004807230074031343
2000,mov,0.001049317943336831
2000,fpd,0.001233987542601951
2000,pri,0.009116409537166902
2000,fmt,0.02377802139643897
2000,pet,0.0033828022697512004
2000,cep,0.003647178163039469
2000,mot,0.012463505264089179
2000,alt,0.12458314609399021
2000,pmt,0.007012696303032423
2000,wpd,0.005302695536897923
2000,che,0.009501115392415332
2000,mmf,0.015360856583959642
2000,min,0.006779661016949153
2001,ppd,0.003067814854682454
2001,fbp,0.018960207716925307
2001,agr,0.005429347049578511
2001,eec,0.01964308640390294
2001,pub,0.00034722222222222224
2001,tex,0.06473582828838746
2001,nmp,0.0340673315039154
2001,ote,0.0043959808175382505
2001,mch,0.011112390603408566
2001,oil,0.0009710602697626771
2001,pla,0.02321038722279674
2001,fof,0.0006029544769369913
2001,mov,0.0007204610951008645
2001,fpd,0.0013872971831835454
2001,pri,0.00784313725490196
2001,fmt,0.02327919566898685
2001,pet,0.004665165857495457
2001,cep,0.0037600536546982186
2001,mot,0.01336581245045681
2001,alt,0.11992963576158941
2001,pmt,0.007408566807533782
2001,wpd,0.005560584507952929
2001,che,0.008593820921717553
2001,mmf,0.013555864626796475
2001,min,0.0034522439585730727
2002,ppd,0.0027965125843066293
2002,fbp,0.016610083892146684
2002,agr,0.005328098710039259
2002,eec,0.01893559390048154
2002,pub,0.0003397893306150187
2002,tex,0.06014479302023389
2002,nmp,0.03224516988674217
2002,ote,0.005257693982117143
2002,mch,0.009480751202104818
2002,oil,0.0008832284726689856
2002,pla,0.02236271487538534
2002,fof,0.0002910925674364448
2002,mov,0.001129305477131564
2002,fpd,0.0010012119934657744
2002,pri,0.004654255319148936
2002,osv,0.0016402405686167306
2002,fmt,0.02186449672740138
2002,pet,0.004725192738124845
2002,cep,0.003878501717923315
2002,mot,0.012913106561341287
2002,alt,0.11085362915715449
2002,pmt,0.01349783525283681
2002,wpd,0.005944720230434517
2002,che,0.007246981196771294
2002,mmf,0.012426256187699193
2002,min,0.001998001998001998
2003,ppd,0.00265017667844523
2003,fbp,0.017227150814937073
2003,agr,0.003656914893617021
2003,eec,0.019342313975236156
2003,pub,0.0003112356053532524
2003,tex,0.061029662461643375
2003,nmp,0.03229844767150726
2003,ote,0.005304387536445709
2003,mch,0.00905753084419967
2003,oil,0.0006916248301450785
2003,pla,0.02323841586010193
2003,fof,0.00026345832967418985
2003,mov,0.0006351894982002964
2003,fpd,0.0011099292420108217
2003,pri,0.003075030750307503
2003,fmt,0.02282579246816581
2003,pet,0.003526883729621152
2003,cep,0.0042585762280007815
2003,mot,0.014050842272814472
2003,alt,0.1131815419343636
2003,pmt,0.009079653322327692
2003,wpd,0.006224911280470068
2003,che,0.007000547436173918
2003,mmf,0.012682110513190709
2003,min,0.0025423728813559325
2004,ppd,0.002121184174121553
2004,fbp,0.017541911846341733
2004,agr,0.002434336963484945
2004,eec,0.019788972369339408
2004,tex,0.06407756758180956
2004,nmp,0.03109202587378377
2004,ote,0.005725877695252429
2004,mch,0.008943325443258451
2004,oil,0.0004900279315921007
2004,pla,0.023836863987329242
2004,fof,0.00033225350942769335
2004,mov,0.00036920804873546244
2004,fpd,0.0011997600479904018
2004,pri,0.0010655301012253596
2004,fmt,0.023070780813323446
2004,pet,0.0025743151350301145
2004,cep,0.004256596841993712
2004,mot,0.013726422878665798
2004,alt,0.11187154246664496
2004,pmt,0.0028349433011339775
2004,wpd,0.0064202089715077
2004,che,0.007873833933684309
2004,mmf,0.012745259934247069
2004,min,0.0014130946773433818
2005,ppd,0.0024235080278703423
2005,fbp,0.017129962047389473
2005,agr,0.002116637887818192
2005,eec,0.01930927948802825
2005,tex,0.064797507788162
2005,nmp,0.029315332690453225
2005,ote,0.005580953511844683
2005,mch,0.008729616248413242
2005,oil,0.00036130141685036636
2005,pla,0.024031906190346328
2005,fof,0.0003121585765568909
2005,mov,0.00032921810699588475
2005,fpd,0.0012929641202456634
2005,pri,0.0014381591562799617
2005,fmt,0.0228799800174847
2005,pet,0.0020510037981551817
2005,cep,0.004381308046229512
2005,mot,0.014043038308617082
2005,alt,0.11397558966105267
2005,pmt,0.0032575273236520835
2005,wpd,0.0068714632174616
2005,che,0.007703398558187436
2005,mmf,0.012128367500268326
2005,min,0.0011719894520949312
2006,ppd,0.002677810686899014
2006,fbp,0.015165930887501905
2006,agr,0.0015952938830450171
2006,eec,0.01897459224121125
2006,tex,0.062250996015936255
2006,nmp,0.02800997855486017
2006,ote,0.0052472527472527475
2006,mch,0.008474948789858194
2006,oil,0.0002997436403076316
2006,pla,0.0235978968452679
2006,fof,0.0002779514974636926
2006,mov,0.0003490401396160558
